period,grade,auc,n_loans,default_rate
2012-02-01,A,0.6842,20,0.05
2012-02-01,G,0.725,21,0.2381
2012-03-01,A,0.5789,20,0.05
2012-04-01,D,0.8824,20,0.15
2012-06-01,B,0.5147,21,0.1905
2012-06-01,C,0.6222,23,0.2174
2012-06-01,E,0.6964,22,0.3636
2012-06-01,F,0.3853,32,0.3438
2012-06-01,G,0.5343,29,0.4138
2012-07-01,A,0.8889,21,0.1429
2012-07-01,B,0.5079,27,0.2222
2012-07-01,C,0.6087,27,0.1481
2012-07-01,D,0.8182,26,0.1538
2012-07-01,E,0.4,24,0.2083
2012-07-01,F,0.6574,21,0.4286
2012-07-01,G,0.6923,23,0.4348
2012-08-01,A,0.65,22,0.0909
2012-08-01,B,0.4048,23,0.087
2012-08-01,C,0.585,28,0.25
2012-08-01,D,0.6786,23,0.3043
2012-08-01,E,0.7033,30,0.3667
2012-08-01,F,0.6458,28,0.4286
2012-08-01,G,0.5646,28,0.25
2012-09-01,A,0.6212,35,0.0571
2012-09-01,B,0.9031,35,0.2
2012-09-01,C,0.5333,34,0.1176
2012-09-01,D,0.7762,37,0.2973
2012-09-01,E,0.5583,32,0.375
2012-09-01,F,0.5489,26,0.2692
2012-09-01,G,0.5249,30,0.4333
2012-10-01,A,0.3535,39,0.1538
2012-10-01,B,0.4146,49,0.1633
2012-10-01,C,0.6435,35,0.2286
2012-10-01,D,0.5952,52,0.1923
2012-10-01,E,0.5769,45,0.2889
2012-10-01,F,0.5444,45,0.3333
2012-10-01,G,0.4825,24,0.5417
2012-11-01,A,0.4855,82,0.1098
2012-11-01,B,0.4948,87,0.1494
2012-11-01,C,0.663,89,0.2247
2012-11-01,D,0.5046,96,0.25
2012-11-01,E,0.7051,89,0.2921
2012-11-01,F,0.5842,99,0.2121
2012-11-01,G,0.5897,39,0.4103
2012-12-01,A,0.4422,101,0.0693
2012-12-01,B,0.3958,89,0.1011
2012-12-01,C,0.5649,94,0.2553
2012-12-01,D,0.5478,84,0.1905
2012-12-01,E,0.6537,87,0.2414
2012-12-01,F,0.6398,85,0.3176
2012-12-01,G,0.7265,22,0.4091
2013-01-01,B,0.3158,20,0.05
2013-02-01,A,0.56,26,0.0385
2013-03-01,A,0.36,27,0.0741
2013-03-01,B,0.4211,21,0.0952
2013-03-01,C,0.5972,22,0.1818
2013-04-01,B,0.6078,20,0.15
2013-04-01,C,0.5794,27,0.2222
2013-04-01,D,0.323,30,0.2333
2013-04-01,E,0.642,27,0.4074
2013-05-01,B,0.3833,23,0.1304
2013-05-01,D,0.373,27,0.2222
2013-05-01,E,0.619,33,0.3636
2013-05-01,F,0.5556,28,0.3571
2013-05-01,G,0.4008,32,0.4375
2013-06-01,B,0.4444,24,0.25
2013-06-01,C,0.3684,22,0.1364
2013-06-01,D,0.4545,30,0.2667
2013-06-01,E,0.4118,26,0.3462
2013-06-01,F,0.4667,32,0.4688
2013-06-01,G,0.5656,30,0.4333
2013-07-01,A,0.3846,27,0.037
2013-07-01,B,0.7353,38,0.1053
2013-07-01,C,0.7273,36,0.0833
2013-07-01,D,0.7197,28,0.2143
2013-07-01,E,0.84,25,0.2
2013-07-01,F,0.7033,30,0.3667
2013-07-01,G,0.6296,21,0.4286
2013-08-01,B,0.6267,28,0.1071
2013-08-01,C,0.4394,31,0.2903
2013-08-01,D,0.9762,23,0.087
2013-08-01,E,0.75,26,0.1538
2013-08-01,F,0.7429,31,0.3226
2013-08-01,G,0.6059,50,0.36
2013-09-01,B,0.8276,30,0.0333
2013-09-01,C,0.6127,44,0.2045
2013-09-01,D,0.3795,39,0.1795
2013-09-01,E,0.5538,49,0.2041
2013-09-01,F,0.602,42,0.3333
2013-09-01,G,0.4323,50,0.36
2013-10-01,A,0.7436,40,0.025
2013-10-01,B,0.4848,72,0.0833
2013-10-01,C,0.5653,52,0.1538
2013-10-01,D,0.6,45,0.2222
