dti,int_rate,annual_inc,loan_amnt,year,period_label
24.41,19.03,62000.0,14550.0,2017,monitoring (2015-18)
19.9,6.99,75000.0,7500.0,2016,monitoring (2015-18)
29.24,26.77,82000.0,28800.0,2018,monitoring (2015-18)
16.48,16.14,150000.0,17500.0,2018,monitoring (2015-18)
25.17,28.72,85000.0,30000.0,2018,monitoring (2015-18)
15.75,28.69,35388.0,13400.0,2017,monitoring (2015-18)
21.94,20.75,46000.0,4300.0,2016,monitoring (2015-18)
12.45,5.31,110000.0,3000.0,2018,monitoring (2015-18)
12.61,6.49,125000.0,20000.0,2016,monitoring (2015-18)
12.74,12.99,42000.0,5000.0,2016,monitoring (2015-18)
13.6,30.79,90000.0,28000.0,2017,monitoring (2015-18)
15.44,6.99,90000.0,3000.0,2017,monitoring (2015-18)
33.19,22.39,21000.0,6000.0,2016,monitoring (2015-18)
6.3,6.99,85000.0,24000.0,2016,monitoring (2015-18)
15.84,6.72,118600.0,16000.0,2018,monitoring (2015-18)
19.61,20.99,66000.0,30350.0,2016,monitoring (2015-18)
36.02,19.99,45000.0,14275.0,2016,monitoring (2015-18)
18.56,18.99,145000.0,22025.0,2015,monitoring (2015-18)
14.79,10.42,87000.0,8000.0,2017,monitoring (2015-18)
28.92,28.72,61000.0,24300.0,2018,monitoring (2015-18)
15.81,7.49,40000.0,6000.0,2017,monitoring (2015-18)
10.16,6.71,84000.0,25500.0,2018,monitoring (2015-18)
14.0,15.99,65000.0,20000.0,2017,monitoring (2015-18)
12.5,6.89,72000.0,5000.0,2015,monitoring (2015-18)
29.42,16.99,18366.0,9175.0,2015,monitoring (2015-18)
32.04,23.88,26000.0,10000.0,2017,monitoring (2015-18)
13.08,26.3,72200.0,5000.0,2017,monitoring (2015-18)
4.69,27.27,45000.0,1000.0,2018,monitoring (2015-18)
6.3,22.74,80000.0,20000.0,2016,monitoring (2015-18)
2.21,20.39,68000.0,10000.0,2018,monitoring (2015-18)
28.58,13.58,235000.0,25000.0,2018,monitoring (2015-18)
19.26,25.8,65000.0,20750.0,2015,monitoring (2015-18)
13.08,30.79,40000.0,10000.0,2017,monitoring (2015-18)
45.09,23.13,16000.0,6400.0,2016,monitoring (2015-18)
5.34,14.47,92000.0,25000.0,2018,monitoring (2015-18)
17.92,8.19,123000.0,13000.0,2015,monitoring (2015-18)
39.52,30.79,102000.0,17725.0,2017,monitoring (2015-18)
18.02,6.99,90000.0,8000.0,2016,monitoring (2015-18)
13.32,7.39,80000.0,16500.0,2016,monitoring (2015-18)
33.78,29.99,68000.0,17275.0,2016,monitoring (2015-18)
25.15,24.74,19560.0,5850.0,2017,monitoring (2015-18)
7.23,20.39,47000.0,32000.0,2018,monitoring (2015-18)
58.16,24.85,65000.0,5000.0,2018,monitoring (2015-18)
15.25,16.99,62000.0,14525.0,2016,monitoring (2015-18)
4.64,10.75,44000.0,10400.0,2016,monitoring (2015-18)
30.28,25.11,57200.0,25150.0,2016,monitoring (2015-18)
32.69,24.37,50000.0,12000.0,2018,monitoring (2015-18)
27.69,25.34,34320.0,9500.0,2018,monitoring (2015-18)
12.8,7.59,90000.0,10000.0,2016,monitoring (2015-18)
17.96,11.49,102000.0,15000.0,2017,monitoring (2015-18)
21.38,20.39,210000.0,27500.0,2018,monitoring (2015-18)
17.68,30.79,60000.0,12000.0,2016,monitoring (2015-18)
