period,feature,missing_rate,n_records
2012-01-01,dti,0.0,82
2012-01-01,annual_inc,0.0,82
2012-01-01,int_rate,0.0,82
2012-01-01,loan_amnt,0.0,82
2012-02-01,dti,0.0,110
2012-02-01,annual_inc,0.0,110
2012-02-01,int_rate,0.0,110
2012-02-01,loan_amnt,0.0,110
2012-03-01,dti,0.0,85
2012-03-01,annual_inc,0.0,85
2012-03-01,int_rate,0.0,85
2012-03-01,loan_amnt,0.0,85
2012-04-01,dti,0.0,105
2012-04-01,annual_inc,0.0,105
2012-04-01,int_rate,0.0,105
2012-04-01,loan_amnt,0.0,105
2012-05-01,dti,0.0,110
2012-05-01,annual_inc,0.0,110
2012-05-01,int_rate,0.0,110
2012-05-01,loan_amnt,0.0,110
2012-06-01,dti,0.0,157
2012-06-01,annual_inc,0.0,157
2012-06-01,int_rate,0.0,157
2012-06-01,loan_amnt,0.0,157
2012-07-01,dti,0.0,169
2012-07-01,annual_inc,0.0,169
2012-07-01,int_rate,0.0,169
2012-07-01,loan_amnt,0.0,169
2012-08-01,dti,0.0,182
2012-08-01,annual_inc,0.0,182
2012-08-01,int_rate,0.0,182
2012-08-01,loan_amnt,0.0,182
2012-09-01,dti,0.0,229
2012-09-01,annual_inc,0.0,229
2012-09-01,int_rate,0.0,229
2012-09-01,loan_amnt,0.0,229
2012-10-01,dti,0.0,289
2012-10-01,annual_inc,0.0,289
2012-10-01,int_rate,0.0,289
2012-10-01,loan_amnt,0.0,289
2012-11-01,dti,0.0,581
2012-11-01,annual_inc,0.0,581
2012-11-01,int_rate,0.0,581
2012-11-01,loan_amnt,0.0,581
2012-12-01,dti,0.0,562
2012-12-01,annual_inc,0.0,562
2012-12-01,int_rate,0.0,562
2012-12-01,loan_amnt,0.0,562
2013-01-01,dti,0.0,101
2013-01-01,annual_inc,0.0,101
2013-01-01,int_rate,0.0,101
2013-01-01,loan_amnt,0.0,101
2013-02-01,dti,0.0,110
2013-02-01,annual_inc,0.0,110
2013-02-01,int_rate,0.0,110
2013-02-01,loan_amnt,0.0,110
2013-03-01,dti,0.0,117
2013-03-01,annual_inc,0.0,117
2013-03-01,int_rate,0.0,117
2013-03-01,loan_amnt,0.0,117
2013-04-01,dti,0.0,151
2013-04-01,annual_inc,0.0,151
2013-04-01,int_rate,0.0,151
2013-04-01,loan_amnt,0.0,151
2013-05-01,dti,0.0,173
2013-05-01,annual_inc,0.0,173
2013-05-01,int_rate,0.0,173
2013-05-01,loan_amnt,0.0,173
2013-06-01,dti,0.0,190
2013-06-01,annual_inc,0.0,190
2013-06-01,int_rate,0.0,190
2013-06-01,loan_amnt,0.0,190
2013-07-01,dti,0.0,205
2013-07-01,annual_inc,0.0,205
2013-07-01,int_rate,0.0,205
2013-07-01,loan_amnt,0.0,205
2013-08-01,dti,0.0,218
2013-08-01,annual_inc,0.0,218
2013-08-01,int_rate,0.0,218
2013-08-01,loan_amnt,0.0,218
2013-09-01,dti,0.0,280
2013-09-01,annual_inc,0.0,280
2013-09-01,int_rate,0.0,280
2013-09-01,loan_amnt,0.0,280
2013-10-01,dti,0.0,387
2013-10-01,annual_inc,0.0,387
2013-10-01,int_rate,0.0,387
2013-10-01,loan_amnt,0.0,387
2013-11-01,dti,0.0,434
2013-11-01,annual_inc,0.0,434
2013-11-01,int_rate,0.0,434
2013-11-01,loan_amnt,0.0,434
2013-12-01,dti,0.0,434
2013-12-01,annual_inc,0.0,434
2013-12-01,int_rate,0.0,434
2013-12-01,loan_amnt,0.0,434
2014-01-01,dti,0.0,385
2014-01-01,annual_inc,0.0,385
2014-01-01,int_rate,0.0,385
2014-01-01,loan_amnt,0.0,385
2014-02-01,dti,0.0,382
2014-02-01,annual_inc,0.0,382
2014-02-01,int_rate,0.0,382
2014-02-01,loan_amnt,0.0,382
2014-03-01,dti,0.0,484
2014-03-01,annual_inc,0.0,484
2014-03-01,int_rate,0.0,484
2014-03-01,loan_amnt,0.0,484
2014-04-01,dti,0.0,329
2014-04-01,annual_inc,0.0,329
2014-04-01,int_rate,0.0,329
2014-04-01,loan_amnt,0.0,329
2014-05-01,dti,0.0,241
2014-05-01,annual_inc,0.0,241
2014-05-01,int_rate,0.0,241
2014-05-01,loan_amnt,0.0,241
2014-06-01,dti,0.0,241
2014-06-01,annual_inc,0.0,241
2014-06-01,int_rate,0.0,241
2014-06-01,loan_amnt,0.0,241
2014-07-01,dti,0.0,407
2014-07-01,annual_inc,0.0,407
2014-07-01,int_rate,0.0,407
2014-07-01,loan_amnt,0.0,407
2014-08-01,dti,0.0,301
2014-08-01,annual_inc,0.0,301
2014-08-01,int_rate,0.0,301
2014-08-01,loan_amnt,0.0,301
2014-09-01,dti,0.0,211
2014-09-01,annual_inc,0.0,211
2014-09-01,int_rate,0.0,211
2014-09-01,loan_amnt,0.0,211
2014-10-01,dti,0.0,624
2014-10-01,annual_inc,0.0,624
2014-10-01,int_rate,0.0,624
2014-10-01,loan_amnt,0.0,624
2014-11-01,dti,0.0,432
2014-11-01,annual_inc,0.0,432
2014-11-01,int_rate,0.0,432
2014-11-01,loan_amnt,0.0,432
2014-12-01,dti,0.0,163
2014-12-01,annual_inc,0.0,163
2014-12-01,int_rate,0.0,163
2014-12-01,loan_amnt,0.0,163
2015-01-01,dti,0.0,1547
2015-01-01,annual_inc,0.0,1547
2015-01-01,int_rate,0.0,1547
2015-01-01,loan_amnt,0.0,1547
2015-02-01,dti,0.0,333
2015-02-01,annual_inc,0.0,333
2015-02-01,int_rate,0.0,333
2015-02-01,loan_amnt,0.0,333
2015-03-01,dti,0.0,363
2015-03-01,annual_inc,0.0,363
2015-03-01,int_rate,0.0,363
2015-03-01,loan_amnt,0.0,363
2015-04-01,dti,0.0,483
2015-04-01,annual_inc,0.0,483
2015-04-01,int_rate,0.0,483
2015-04-01,loan_amnt,0.0,483
2015-05-01,dti,0.0,467
2015-05-01,annual_inc,0.0,467
2015-05-01,int_rate,0.0,467
2015-05-01,loan_amnt,0.0,467
2015-06-01,dti,0.0,397
2015-06-01,annual_inc,0.0,397
2015-06-01,int_rate,0.0,397
2015-06-01,loan_amnt,0.0,397
2015-07-01,dti,0.0,603
2015-07-01,annual_inc,0.0,603
2015-07-01,int_rate,0.0,603
2015-07-01,loan_amnt,0.0,603
2015-08-01,dti,0.0,529
2015-08-01,annual_inc,0.0,529
2015-08-01,int_rate,0.0,529
2015-08-01,loan_amnt,0.0,529
2015-09-01,dti,0.0,385
2015-09-01,annual_inc,0.0,385
2015-09-01,int_rate,0.0,385
2015-09-01,loan_amnt,0.0,385
2015-10-01,dti,0.0,684
2015-10-01,annual_inc,0.0,684
2015-10-01,int_rate,0.0,684
2015-10-01,loan_amnt,0.0,684
2015-11-01,dti,0.0,472
2015-11-01,annual_inc,0.0,472
2015-11-01,int_rate,0.0,472
2015-11-01,loan_amnt,0.0,472
