period,feature,psi,n_obs
2012-01-01,dti,0.465164,82
2012-02-01,dti,0.910131,110
2012-03-01,dti,0.963029,85
2012-04-01,dti,1.002599,105
2012-05-01,dti,0.442483,110
2012-06-01,dti,0.0582,157
2012-07-01,dti,0.04983,169
2012-08-01,dti,0.063413,182
2012-09-01,dti,0.039636,229
2012-10-01,dti,0.031743,289
2012-11-01,dti,0.013769,581
2012-12-01,dti,0.018748,562
2013-01-01,dti,0.049384,101
2013-02-01,dti,0.088437,110
2013-03-01,dti,0.075449,117
2013-04-01,dti,0.062165,151
2013-05-01,dti,0.067926,173
2013-06-01,dti,0.010422,190
2013-07-01,dti,0.057722,205
2013-08-01,dti,0.028439,218
2013-09-01,dti,0.038305,280
2013-10-01,dti,0.019898,387
2013-11-01,dti,0.017439,434
2013-12-01,dti,0.023489,434
2014-01-01,dti,0.030895,385
2014-02-01,dti,0.027751,382
2014-03-01,dti,0.018602,484
2014-04-01,dti,0.03536,329
2014-05-01,dti,0.030728,241
2014-06-01,dti,0.04266,241
2014-07-01,dti,0.028348,407
2014-08-01,dti,0.03398,301
2014-09-01,dti,0.082113,211
2014-10-01,dti,0.096051,624
2014-11-01,dti,0.050257,432
2014-12-01,dti,0.09103,163
2015-01-01,dti,0.03488,1547
2015-02-01,dti,0.082854,333
2015-03-01,dti,0.060566,363
2015-04-01,dti,0.093842,483
2015-05-01,dti,0.079217,467
2015-06-01,dti,0.089414,397
2015-07-01,dti,0.095594,603
2015-08-01,dti,0.098765,529
2015-09-01,dti,0.081008,385
2015-10-01,dti,0.116156,684
2015-11-01,dti,0.102209,472
2015-12-01,dti,0.086059,682
2016-01-01,dti,0.121022,1489
2016-02-01,dti,0.198598,562
2016-03-01,dti,0.184843,2013
2016-04-01,dti,0.192999,992
2016-05-01,dti,0.192899,838
2016-06-01,dti,0.12851,968
2016-07-01,dti,0.061492,1283
2016-08-01,dti,0.029111,857
2016-09-01,dti,0.036019,660
2016-10-01,dti,0.085455,802
2016-11-01,dti,0.081913,766
2016-12-01,dti,0.086488,1223
2017-01-01,dti,0.0611,859
2017-02-01,dti,0.070475,796
2017-03-01,dti,0.076975,1142
2017-04-01,dti,0.078565,468
2017-05-01,dti,0.10585,609
2017-06-01,dti,0.043738,1657
2017-07-01,dti,0.038869,1014
2017-08-01,dti,0.038935,850
2017-09-01,dti,0.15298,927
2017-10-01,dti,0.158587,956
2017-11-01,dti,0.144599,944
2017-12-01,dti,0.10299,787
2018-01-01,dti,0.124499,1324
2018-02-01,dti,0.155792,521
2018-03-01,dti,0.199798,636
2018-04-01,dti,0.133534,1468
2018-05-01,dti,0.241796,627
2018-06-01,dti,0.20416,589
2018-07-01,dti,0.151947,732
2018-08-01,dti,0.11605,920
2018-09-01,dti,0.176806,997
2018-10-01,dti,0.13766,628
2018-11-01,dti,0.077917,560
2018-12-01,dti,0.101779,880
2012-01-01,int_rate,0.869454,82
2012-02-01,int_rate,0.753274,110
2012-03-01,int_rate,0.785267,85
2012-04-01,int_rate,0.797706,105
2012-05-01,int_rate,0.865671,110
2012-06-01,int_rate,0.931211,157
2012-07-01,int_rate,0.768184,169
2012-08-01,int_rate,0.834718,182
2012-09-01,int_rate,0.823916,229
2012-10-01,int_rate,0.819541,289
2012-11-01,int_rate,0.788057,581
2012-12-01,int_rate,0.753953,562
2013-01-01,int_rate,0.831016,101
2013-02-01,int_rate,0.746225,110
2013-03-01,int_rate,0.75109,117
2013-04-01,int_rate,0.812911,151
2013-05-01,int_rate,1.033429,173
2013-06-01,int_rate,0.887987,190
2013-07-01,int_rate,0.067973,205
2013-08-01,int_rate,0.132951,218
2013-09-01,int_rate,0.12168,280
2013-10-01,int_rate,0.184528,387
2013-11-01,int_rate,0.063028,434
2013-12-01,int_rate,0.073879,434
2014-01-01,int_rate,0.104539,385
2014-02-01,int_rate,0.101932,382
2014-03-01,int_rate,0.077084,484
2014-04-01,int_rate,0.054973,329
2014-05-01,int_rate,0.075628,241
2014-06-01,int_rate,0.115924,241
2014-07-01,int_rate,0.111506,407
2014-08-01,int_rate,0.247606,301
2014-09-01,int_rate,0.402981,211
2014-10-01,int_rate,0.100682,624
2014-11-01,int_rate,0.092336,432
2014-12-01,int_rate,0.343764,163
2015-01-01,int_rate,0.077985,1547
2015-02-01,int_rate,0.176473,333
2015-03-01,int_rate,0.248021,363
2015-04-01,int_rate,0.225927,483
2015-05-01,int_rate,0.258301,467
2015-06-01,int_rate,0.217855,397
2015-07-01,int_rate,0.242411,603
2015-08-01,int_rate,0.28662,529
2015-09-01,int_rate,0.220267,385
2015-10-01,int_rate,0.258944,684
2015-11-01,int_rate,0.246036,472
2015-12-01,int_rate,0.198329,682
2016-01-01,int_rate,0.159871,1489
